BATTING,DISMISSAL,RUNS,BALLS,MINUTES,FOURS,SIXES,STRICK RATE,BATTING_POSITION,MATCH_ID,MATCH,BATTING_TEAM
Jonny Bairstow,c Mitchell b Santner,33,35,57,4,1,94.28,1,ODI # 4658,England-vs-New-Zealand,England
Dawid Malan,c  wk Latham b Henry,14,24,36,2,0,58.33,2,ODI # 4658,England-vs-New-Zealand,England
Joe Root,b Phillips,77,86,140,4,1,89.53,3,ODI # 4658,England-vs-New-Zealand,England
Harry Brook,c Conway b Ravindra,25,16,20,4,1,156.25,4,ODI # 4658,England-vs-New-Zealand,England
Moeen Ali,b Phillips,11,17,20,1,0,64.7,5,ODI # 4658,England-vs-New-Zealand,England
Jos Buttler(c) wk ,c  wk Latham b Henry,43,42,48,2,2,102.38,6,ODI # 4658,England-vs-New-Zealand,England
Liam Livingstone,c Henry b Boult,20,22,23,3,0,90.9,7,ODI # 4658,England-vs-New-Zealand,England
Sam Curran,c  wk Latham b Henry,14,19,30,0,0,73.68,8,ODI # 4658,England-vs-New-Zealand,England
Chris Woakes,c Young b Santner,11,12,15,1,0,91.66,9,ODI # 4658,England-vs-New-Zealand,England
Adil Rashid,not out,15,13,23,0,1,115.38,10,ODI # 4658,England-vs-New-Zealand,England
Mark Wood,not out,13,14,19,0,0,92.85,11,ODI # 4658,England-vs-New-Zealand,England
Devon Conway,not out,152,121,147,19,3,125.61,1,ODI # 4658,England-vs-New-Zealand,New-Zealand
Will Young,c  wk Buttler b Curran,0,1,5,0,0,0,2,ODI # 4658,England-vs-New-Zealand,New-Zealand
Rachin Ravindra,not out,123,96,141,11,5,128.12,3,ODI # 4658,England-vs-New-Zealand,New-Zealand
Fakhar Zaman,c & b van Beek,12,15,14,3,0,80,1,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Imam-ul-Haq,c Dutt b van Meekeren,15,19,40,2,0,78.94,2,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Babar Azam(c),c Saqib Zulfiqar b Ackermann,5,18,20,0,0,27.77,3,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Mohammad Rizwan wk ,b de Leede,68,75,104,8,0,90.66,4,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Saud Shakeel,c Saqib Zulfiqar b Dutt,68,52,84,9,1,130.76,5,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Iftikhar Ahmed,c  wk Edwards b de Leede,9,11,22,1,0,81.81,6,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Mohammad Nawaz,run out (van Meekeren/Ackermann),39,43,66,4,0,90.69,7,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Shadab Khan,b de Leede,32,34,42,2,1,94.11,8,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Hasan Ali,lbw b de Leede,0,1,2,0,0,0,9,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Shaheen Shah Afridi,not out,13,12,23,2,0,108.33,10,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Haris Rauf,st  wk Edwards b Ackermann,16,14,10,2,1,114.28,11,ODI # 4659,Netherlands-vs-Pakistan,Pakistan
Vikramjit Singh,c Fakhar Zaman b Shadab Khan,52,67,97,4,1,77.61,1,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Max O'Dowd,c Shaheen Shah Afridi b Hasan Ali,5,12,24,1,0,41.66,2,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Colin Ackermann,b Iftikhar Ahmed,17,21,24,3,0,80.95,3,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Bas de Leede,b Mohammad Nawaz,67,68,92,6,2,98.52,4,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Teja Nidamanuru,c Fakhar Zaman b Haris Rauf,5,9,10,1,0,55.55,5,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Scott Edwards(c) wk ,lbw b Haris Rauf,0,2,2,0,0,0,6,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Saqib Zulfiqar,lbw b Shaheen Shah Afridi,10,18,24,1,0,55.55,7,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Roelof van der Merwe,run out (Babar Azam/ wk Mohammad Rizwan),4,7,18,0,0,57.14,8,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Logan van Beek,not out,28,28,36,3,1,100,9,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Aryan Dutt,b Hasan Ali,1,2,6,0,0,50,10,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Paul van Meekeren,b Haris Rauf,7,12,17,1,0,58.33,11,ODI # 4659,Netherlands-vs-Pakistan,Netherlands
Rahmanullah Gurbaz wk ,c Tanzid Hasan b Mustafizur Rahman,47,62,112,4,1,75.8,1,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Ibrahim Zadran,c Tanzid Hasan b Shakib Al Hasan,22,25,41,3,1,88,2,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Rahmat Shah,c Litton Das b Shakib Al Hasan,18,25,30,1,0,72,3,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Hashmatullah Shahidi(c),c Towhid Hridoy b Mehidy Hasan Miraz,18,38,34,2,0,47.36,4,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Najibullah Zadran,b Shakib Al Hasan,5,13,16,0,0,38.46,5,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Mohammad Nabi,b Taskin Ahmed,6,12,19,0,0,50,6,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Azmatullah Omarzai,b Shoriful Islam,22,20,32,4,0,110,7,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Rashid Khan,b Mehidy Hasan Miraz,9,16,16,1,0,56.25,8,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Mujeeb Ur Rahman,b Mehidy Hasan Miraz,1,4,9,0,0,25,9,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Naveen-ul-Haq,c Towhid Hridoy b Shoriful Islam,0,6,8,0,0,0,10,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Fazalhaq Farooqi,not out,0,3,3,0,0,0,11,ODI # 4660,Afghanistan-vs-Bangladesh,Afghanistan
Tanzid Hasan,run out (Najibullah Zadran),5,13,19,1,0,38.46,1,ODI # 4660,Afghanistan-vs-Bangladesh,Bangladesh
Litton Das,b Fazalhaq Farooqi,13,18,29,2,0,72.22,2,ODI # 4660,Afghanistan-vs-Bangladesh,Bangladesh
Mehidy Hasan Miraz,c Rahmat Shah b Naveen-ul-Haq,57,73,89,5,0,78.08,3,ODI # 4660,Afghanistan-vs-Bangladesh,Bangladesh
Najmul Hossain Shanto,not out,59,83,112,3,1,71.08,4,ODI # 4660,Afghanistan-vs-Bangladesh,Bangladesh
Shakib Al Hasan(c),c Fazalhaq Farooqi b Azmatullah Omarzai,14,19,24,2,0,73.68,5,ODI # 4660,Afghanistan-vs-Bangladesh,Bangladesh
Mushfiqur Rahim wk ,not out,2,3,6,0,0,66.66,6,ODI # 4660,Afghanistan-vs-Bangladesh,Bangladesh
