Team,Player,Image URL,Date of birth (age),ODIs,Role,Batting,Bowling style,List A or domestic team
Afghanistan,Hashmatullah Shahidi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200/lsci/db/PICTURES/CMS/361700/361712.jpg",(1994 -11 -04)4 November 1994 (aged 28),64,Batsman,Left,Right -arm off break,Band -e -Amir Region
Afghanistan,Noor Ahmad,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200/lsci/db/PICTURES/CMS/369700/369707.jpg",(2005 -01 -03)3 January 2005 (aged 18),3,Bowler,Right,Left -arm unorthodox spin,Mis Ainak Knights
Afghanistan,Ikram Alikhil,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320400/320498.png",(2000 -11 -28)28 November 2000 (aged 22),14,Wicket -keeper,Right, -,Speenghar Tigers
Afghanistan,Fazalhaq Farooqi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/345000/345077.png",(2000 -09 -22)22 September 2000 (aged 23),21,Bowler,Right,Left -arm fast -medium,Kabul Eagles
Afghanistan,Rahmanullah Gurbaz,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320504.png",(2001 -11 -28)28 November 2001 (aged 21),26,Wicket -keeper,Left, -,Kabul Eagles
Afghanistan,Riaz Hassan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/330600/330621.png",(2002 -11 -07)7 November 2002 (aged 20),5,Batsman,Right, -,Speenghar Tigers
Afghanistan,Rashid Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320506.png",(1998 -09 -20)20 September 1998 (aged 25),94,All -rounder,Right,Right -arm leg spin,Speenghar Tigers
Afghanistan,Mohammad Nabi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316558.png",(1985 -01 -01)1 January 1985 (aged 38),147,All -rounder,Right,Right -arm off spin,Band -e -Amir Dragons
Afghanistan,Azmatullah Omarzai,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347832.4.jpg",(2000 -03 -24)24 March 2000 (aged 23),13,All -rounder,Right,Right -arm medium -fast,Mis Ainak Knights
Afghanistan,Abdul Rahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/334900/334996.png",(2001 -11 -22)22 November 2001 (aged 21),3,Bowler,Right,Right -arm medium -fast,Band -e -Amir Dragons
